Vdd,Freq,CoreStatic,CoreIdle,CoreActive,LLCStatic,LLCRead,LLCWrite
1.3,2294,126.03,638.99,845.39,3.49632,5.6,5.02
1.275,2243,129.87,582.32,770.42,3.49632,5.37,4.82
1.25,2190,128.48,529.71,700.81,3.49632,5.16,4.63
1.225,2136,123.43,480.93,636.28,3.49632,4.94,4.44
1.2,2082,115.93,435.77,576.53,3.49632,4.73,4.25
1.175,2026,106.93,394.04,521.32,3.49632,4.53,4.07
1.15,1969,97.16,355.53,470.37,3.49632,4.33,3.89
1.125,1910,87.17,320.06,423.44,3.49632,4.14,3.72
1.1,1851,77.35,287.45,380.29,3.49632,3.95,3.55
1.075,1789,67.99,257.52,340.7,3.49632,3.77,3.39
1.05,1727,59.28,230.11,304.44,3.49632,3.59,3.23
1.025,1663,51.33,205.07,271.31,3.49632,3.41,3.07
1,1597,44.2,182.23,241.09,3.49632,3.24,2.92
0.975,1530,37.9,161.45,213.6,3.08908,3.08,2.77
0.95,1461,32.42,142.59,188.65,2.73152,2.92,2.63
0.925,1390,27.32,125.52,166.06,2.41772,2.76,2.49
0.9,1317,23.66,110.1,145.67,2.14248,2.61,2.35
0.875,1243,20.5,96.23,127.31,1.90132,2.47,2.22
0.85,1166,17.81,83.77,110.83,1.6902,2.33,2.1
0.825,1086,15.54,72.63,96.09,1.5058,2.19,1.97
0.8,1005,13.63,62.69,82.94,1.34524,2.06,1.85
0.775,920,12.04,53.86,71.26,1.20608,1.93,1.74
0.75,833,10.72,46.04,60.92,1.08648,1.81,1.63
0.725,743,9.63,39.15,51.8,0.98508,1.69,1.53
0.7,650,8.73,33.1,43.8,0.90144,1.58,1.42
0.675,553,8.01,27.82,36.81,0.83636,1.48,1.33
0.65,453,7.48,23.23,30.73,0.79324,1.37,1.23
0.625,349,7.19,19.25,25.47,0.78208,1.28,1.15
0.6,240,7.41,15.84,20.96,0.83456,1.18,1.06
0.575,127,9.31,12.92,17.1,1.10456,1.09,0.98
